user_id,Age,Gender,Location,product_id,Product,Brand,Gender_category,Brand_category,product_category,category,cost
000655,25,M,Jaipur,501,JBL Earbuds,JBL,M,JBL,Earbuds,Electronics,5572 INR
000755,24,M,Patna,502,Nike Sneakers,Nike,M,Nike,Sneakers,Fashion,2488 INR
000096,31,M,Vadodara,503,Himalaya Face Wash,Himalaya,M,Himalaya,Face Wash,Beauty & Personal Care,674 INR
000204,59,F,Pune,504,Bajaj Mixer Grinder,Bajaj,F,Bajaj,Mixer Grinder,Home & Kitchen,1606 INR
000778,28,F,Lucknow,505,Adidas T-shirt,Adidas,F,Adidas,T-shirt,Fashion,740 INR
000981,39,M,Chennai,506,Nike Sneakers,Nike,M,Nike,Sneakers,Fashion,7881 INR
000868,40,F,Bangalore,507,Philips Mixer Grinder,Philips,F,Philips,Mixer Grinder,Home & Kitchen,7701 INR
000081,53,F,Thiruvananthapuram,508,Wrangler Jeans,Wrangler,F,Wrangler,Jeans,Fashion,1369 INR
000047,60,M,Chandigarh,509,Dell Laptop,Dell,M,Dell,Laptop,Electronics,143571 INR
000104,42,F,Nagpur,510,Wrangler Jeans,Wrangler,F,Wrangler,Jeans,Fashion,3832 INR
000364,31,F,Chennai,511,Mamaearth Face Wash,Mamaearth,F,Mamaearth,Face Wash,Beauty & Personal Care,646 INR
000747,33,M,Nagpur,512,Puma Sneakers,Puma,M,Puma,Sneakers,Fashion,11125 INR
000225,38,M,Pune,513,Xiaomi Smartphone,Xiaomi,M,Xiaomi,Smartphone,Electronics,67581 INR
000275,22,M,Patna,514,Wrangler Jeans,Wrangler,M,Wrangler,Jeans,Fashion,4889 INR
000406,59,F,Hyderabad,515,Adidas T-shirt,Adidas,F,Adidas,T-shirt,Fashion,805 INR
000763,53,F,Patna,516,Reebok Sneakers,Reebok,F,Reebok,Sneakers,Fashion,7930 INR
000225,26,F,Chennai,517,Apple Smartphone,Apple,F,Apple,Smartphone,Electronics,35033 INR
000643,28,F,Thiruvananthapuram,518,Lenovo Laptop,Lenovo,F,Lenovo,Laptop,Electronics,80019 INR
000611,47,F,Surat,519,Apple Smartphone,Apple,F,Apple,Smartphone,Electronics,85381 INR
000769,35,F,Delhi,520,Uniqlo T-shirt,Uniqlo,F,Uniqlo,T-shirt,Fashion,623 INR
000465,18,F,Vadodara,521,Apple Smartwatch,Apple,F,Apple,Smartwatch,Electronics,42979 INR
000306,58,M,Hyderabad,522,Wrangler Jeans,Wrangler,M,Wrangler,Jeans,Fashion,804 INR
000614,38,F,Ahmedabad,523,HP Laptop,HP,F,HP,Laptop,Electronics,145175 INR
000852,37,M,Bangalore,524,boAt Earbuds,boAt,M,boAt,Earbuds,Electronics,3806 INR
000750,49,M,Surat,525,Samsung Smartwatch,Samsung,M,Samsung,Smartwatch,Electronics,45237 INR
000487,53,M,Jaipur,526,Boldfit Yoga Mat,Boldfit,M,Boldfit,Yoga Mat,Sports & Outdoors,1167 INR
000952,52,M,Chandigarh,527,Puma Sneakers,Puma,M,Puma,Sneakers,Fashion,9177 INR
000922,51,F,Delhi,528,JBL Earbuds,JBL,F,JBL,Earbuds,Electronics,3098 INR
000347,19,M,Patna,529,boAt Earbuds,boAt,M,boAt,Earbuds,Electronics,3326 INR
000725,58,M,Pune,530,Apple Laptop,Apple,M,Apple,Laptop,Electronics,142674 INR
000339,22,M,Jaipur,531,Prestige Mixer Grinder,Prestige,M,Prestige,Mixer Grinder,Home & Kitchen,3667 INR
000741,54,F,Pune,532,Butterfly Mixer Grinder,Butterfly,F,Butterfly,Mixer Grinder,Home & Kitchen,4619 INR
000097,24,F,Bhopal,533,Reebok Sneakers,Reebok,F,Reebok,Sneakers,Fashion,9651 INR
000885,21,M,Bangalore,534,Puma Sneakers,Puma,M,Puma,Sneakers,Fashion,3790 INR
000255,30,M,Surat,535,Prestige Mixer Grinder,Prestige,M,Prestige,Mixer Grinder,Home & Kitchen,8412 INR
000188,35,F,Pune,536,Lenovo Laptop,Lenovo,F,Lenovo,Laptop,Electronics,135909 INR
000883,53,M,Bangalore,537,Nivia Yoga Mat,Nivia,M,Nivia,Yoga Mat,Sports & Outdoors,682 INR
000949,33,M,Coimbatore,538,Butterfly Mixer Grinder,Butterfly,M,Butterfly,Mixer Grinder,Home & Kitchen,5002 INR
000886,43,M,Kolkata,539,Nike Sneakers,Nike,M,Nike,Sneakers,Fashion,8396 INR
000272,47,F,Coimbatore,540,Boldfit Yoga Mat,Boldfit,F,Boldfit,Yoga Mat,Sports & Outdoors,934 INR
000195,36,M,Bangalore,541,Himalaya Face Wash,Himalaya,M,Himalaya,Face Wash,Beauty & Personal Care,421 INR
000059,21,F,Vadodara,542,Decathlon Yoga Mat,Decathlon,F,Decathlon,Yoga Mat,Sports & Outdoors,532 INR
000984,50,M,Kolkata,543,Asus Laptop,Asus,M,Asus,Laptop,Electronics,38907 INR
000692,33,F,Delhi,544,Mamaearth Face Wash,Mamaearth,F,Mamaearth,Face Wash,Beauty & Personal Care,692 INR
000609,20,M,Coimbatore,545,Ponds Face Wash,Ponds,M,Ponds,Face Wash,Beauty & Personal Care,367 INR
000210,60,F,Pune,546,Uniqlo T-shirt,Uniqlo,F,Uniqlo,T-shirt,Fashion,568 INR
000688,59,F,Nagpur,547,Levi's Jeans,Levi's,F,Levi's,Jeans,Fashion,876 INR
000470,57,M,Chennai,548,Decathlon Yoga Mat,Decathlon,M,Decathlon,Yoga Mat,Sports & Outdoors,2372 INR
000272,26,F,Chennai,549,Sony Earbuds,Sony,F,Sony,Earbuds,Electronics,10338 INR
000162,46,F,Thiruvananthapuram,550,Nivia Yoga Mat,Nivia,F,Nivia,Yoga Mat,Sports & Outdoors,2571 INR
000307,60,M,Hyderabad,551,Nike T-shirt,Nike,M,Nike,T-shirt,Fashion,519 INR
000761,53,M,Jaipur,552,Puma T-shirt,Puma,M,Puma,T-shirt,Fashion,731 INR
000735,39,M,Jaipur,553,Boldfit Yoga Mat,Boldfit,M,Boldfit,Yoga Mat,Sports & Outdoors,1328 INR
000928,21,M,Coimbatore,554,Nike T-shirt,Nike,M,Nike,T-shirt,Fashion,307 INR
000342,26,F,Kolkata,555,Butterfly Mixer Grinder,Butterfly,F,Butterfly,Mixer Grinder,Home & Kitchen,1658 INR
000115,22,M,Surat,556,Xiaomi Smartphone,Xiaomi,M,Xiaomi,Smartphone,Electronics,91350 INR
000566,27,F,Hyderabad,557,Xiaomi Smartphone,Xiaomi,F,Xiaomi,Smartphone,Electronics,62795 INR
000921,20,F,Mumbai,558,boAt Earbuds,boAt,F,boAt,Earbuds,Electronics,12589 INR
000799,53,F,Thiruvananthapuram,559,Samsung Smartwatch,Samsung,F,Samsung,Smartwatch,Electronics,12649 INR
