user_id,Age,Gender,Location,product_id,Product,Brand,Gender_category,Brand_category,product_category,category,cost
000082,25,M,Jaipur,501,JBL Earbuds,JBL,M,JBL,Earbuds,Electronics,5572 INR
000095,24,M,Patna,502,Nike Sneakers,Nike,M,Nike,Sneakers,Fashion,2488 INR
000012,31,M,Vadodara,503,Himalaya Face Wash,Himalaya,M,Himalaya,Face Wash,Beauty & Personal Care,674 INR
000026,59,F,Pune,504,Bajaj Mixer Grinder,Bajaj,F,Bajaj,Mixer Grinder,Home & Kitchen,1606 INR
000098,28,F,Lucknow,505,Adidas T-shirt,Adidas,F,Adidas,T-shirt,Fashion,740 INR
000098,39,M,Chennai,506,Nike Sneakers,Nike,M,Nike,Sneakers,Fashion,7881 INR
000045,56,F,Bangalore,507,Philips Mixer Grinder,Philips,F,Philips,Mixer Grinder,Home & Kitchen,7701 INR
000011,53,F,Thiruvananthapuram,508,Wrangler Jeans,Wrangler,F,Wrangler,Jeans,Fashion,1369 INR
000006,60,M,Chandigarh,509,Dell Laptop,Dell,M,Dell,Laptop,Electronics,143571 INR
000013,42,F,Nagpur,510,Wrangler Jeans,Wrangler,F,Wrangler,Jeans,Fashion,3832 INR
000046,31,F,Chennai,511,Mamaearth Face Wash,Mamaearth,F,Mamaearth,Face Wash,Beauty & Personal Care,646 INR
000094,33,M,Nagpur,512,Puma Sneakers,Puma,M,Puma,Sneakers,Fashion,11125 INR
000029,38,M,Pune,513,Xiaomi Smartphone,Xiaomi,M,Xiaomi,Smartphone,Electronics,67581 INR
000035,22,M,Patna,514,Wrangler Jeans,Wrangler,M,Wrangler,Jeans,Fashion,4889 INR
000051,59,F,Hyderabad,515,Adidas T-shirt,Adidas,F,Adidas,T-shirt,Fashion,805 INR
000096,53,F,Patna,516,Reebok Sneakers,Reebok,F,Reebok,Sneakers,Fashion,7930 INR
000029,26,F,Chennai,517,Apple Smartphone,Apple,F,Apple,Smartphone,Electronics,35033 INR
000081,28,F,Thiruvananthapuram,518,Lenovo Laptop,Lenovo,F,Lenovo,Laptop,Electronics,80019 INR
000077,47,F,Surat,519,Apple Smartphone,Apple,F,Apple,Smartphone,Electronics,85381 INR
000097,35,F,Delhi,520,Uniqlo T-shirt,Uniqlo,F,Uniqlo,T-shirt,Fashion,623 INR
000059,18,F,Vadodara,521,Apple Smartwatch,Apple,F,Apple,Smartwatch,Electronics,42979 INR
000039,58,M,Hyderabad,522,Wrangler Jeans,Wrangler,M,Wrangler,Jeans,Fashion,804 INR
000077,38,F,Ahmedabad,523,HP Laptop,HP,F,HP,Laptop,Electronics,145175 INR
000040,33,M,Pune,524,Himalaya Face Wash,Himalaya,M,Himalaya,Face Wash,Beauty & Personal Care,187 INR
000094,49,M,Surat,525,Samsung Smartwatch,Samsung,M,Samsung,Smartwatch,Electronics,45237 INR
000061,53,M,Jaipur,526,Boldfit Yoga Mat,Boldfit,M,Boldfit,Yoga Mat,Sports & Outdoors,1167 INR
000070,30,F,Indore,527,Spykar Jeans,Spykar,F,Spykar,Jeans,Fashion,4498 INR
000016,33,M,Chennai,528,Levi's Jeans,Levi's,M,Levi's,Jeans,Fashion,2685 INR
000076,32,M,Chennai,529,Samsung Smartphone,Samsung,M,Samsung,Smartphone,Electronics,23834 INR
000005,39,M,Vadodara,530,Sony Earbuds,Sony,M,Sony,Earbuds,Electronics,16906 INR
000028,52,M,Patna,531,Cetaphil Face Wash,Cetaphil,M,Cetaphil,Face Wash,Beauty & Personal Care,348 INR
000061,44,M,Delhi,532,Lenovo Laptop,Lenovo,M,Lenovo,Laptop,Electronics,76438 INR
000055,44,F,Bangalore,533,Apple Laptop,Apple,F,Apple,Laptop,Electronics,82772 INR
000094,39,M,Pune,534,JBL Earbuds,JBL,M,JBL,Earbuds,Electronics,18573 INR
000058,26,F,Kolkata,535,Uniqlo T-shirt,Uniqlo,F,Uniqlo,T-shirt,Fashion,811 INR
000010,46,M,Bangalore,536,Nivia Yoga Mat,Nivia,M,Nivia,Yoga Mat,Sports & Outdoors,682 INR
000097,33,M,Coimbatore,537,Butterfly Mixer Grinder,Butterfly,M,Butterfly,Mixer Grinder,Home & Kitchen,5002 INR
